player,nationality,position,team,age,games,games_starts,minutes,goals,assists,pens_made,xg,xg_assist
Iñaki Peña,es ESP,GK,es Barcelona,24,2,2,180,0,0,0,0.0,0.0
Pepe,pt POR,DF,pt Porto,40,7,7,660,2,0,0,0.1,0.1
Pepê,br BRA,"MF,FW",pt Porto,26,7,7,642,1,2,0,1.2,0.8
Ricardo Pepi,us USA,"FW,MF",nl PSV Eindhoven,20,8,1,136,1,1,0,0.8,0.2
Danilo Pereira,pt POR,DF,fr Paris S-G,31,3,2,158,0,0,0,0.0,0.2
Noah Persson,se SWE,"DF,MF",ch Young Boys,20,3,0,38,0,0,0,0.0,0.0
Kalvin Phillips,eng ENG,MF,eng Manchester City,27,4,1,129,1,0,1,0.9,0.0
Nathaniel Phillips,eng ENG,DF,sct Celtic,26,2,1,90,0,0,0,0.0,0.0
Kamil Piątkowski,pl POL,DF,at RB Salzburg,23,3,2,182,0,0,0,0.0,0.0
Pizzi,pt POR,MF,pt Braga,33,2,1,51,0,0,0,0.1,0.1
Tommaso Pobega,it ITA,MF,it Milan,24,4,2,149,0,0,0,0.6,0.0
Matteo Politano,it ITA,FW,it Napoli,29,8,8,576,1,1,0,0.6,1.1
Nick Pope,eng ENG,GK,eng Newcastle Utd,31,5,5,450,0,0,0,0.0,0.0
Yussuf Poulsen,dk DEN,"FW,MF",de RB Leipzig,29,7,4,337,0,1,0,0.6,0.8
Ivan Provedel,it ITA,GK,it Lazio,29,8,8,720,1,0,0,0.5,0.0
Christian Pulisic,us USA,FW,it Milan,24,6,5,440,1,0,0,1.1,0.6
Anthony Racioppi,ch SUI,GK,ch Young Boys,24,5,5,450,0,0,0,0.0,0.0
Ivan Rakitić,hr CRO,MF,es Sevilla,35,6,5,459,0,3,0,0.1,2.1
Yaroslav Rakitskiy,ua UKR,DF,ua Shakhtar,33,5,4,343,1,0,0,0.0,0.3
André Ramalho,br BRA,DF,nl PSV Eindhoven,31,6,5,423,0,0,0,0.2,0.1
Gonçalo Ramos,pt POR,FW,fr Paris S-G,22,7,2,215,0,0,0,1.7,0.4
Sergio Ramos,es ESP,DF,es Sevilla,37,5,5,450,2,1,1,1.8,0.2
Aaron Ramsdale,eng ENG,GK,eng Arsenal,25,1,1,90,0,0,0,0.0,0.0
Raphinha,br BRA,FW,es Barcelona,26,7,6,470,3,2,0,2.5,1.6
Marcus Rashford,eng ENG,FW,eng Manchester Utd,25,4,4,288,0,2,0,0.1,1.2
Giacomo Raspadori,it ITA,"FW,MF",it Napoli,23,8,2,253,1,0,0,0.3,0.6
Petar Ratkov,rs SRB,FW,at RB Salzburg,19,6,2,212,0,0,0,0.5,0.6
David Raum,de GER,DF,de RB Leipzig,25,7,7,630,1,3,0,0.2,3.2
David Raya,es ESP,GK,eng Arsenal,27,9,9,840,0,0,0,0.0,0.0
Sergio Reguilón,es ESP,DF,eng Manchester Utd,26,2,2,152,0,0,0,0.2,0.1
Tijjani Reijnders,nl NED,MF,it Milan,25,6,5,480,0,0,0,0.3,0.2
Álex Remiro,es ESP,GK,es Real Sociedad,28,8,8,720,0,0,0,0.0,0.0
Marco Reus,de GER,"MF,FW",de Dortmund,34,13,5,487,2,1,1,2.0,0.6
Gio Reyna,us USA,"FW,MF",de Dortmund,20,2,0,22,0,0,0,0.0,0.0
Declan Rice,eng ENG,MF,eng Arsenal,24,10,9,838,0,1,0,0.2,0.3
Rodrigo Riquelme,es ESP,DF,es Atlético Madrid,23,8,2,319,0,0,0,0.7,0.7
Dmytro Riznyk,ua UKR,GK,ua Shakhtar,24,6,6,540,0,0,0,0.0,0.0
Sergi Roberto,es ESP,MF,es Barcelona,31,5,2,203,0,1,0,0.0,1.2
Milan Rodić,rs SRB,DF,rs Red Star,32,6,5,415,0,0,0,0.1,0.7
Rodri,es ESP,MF,eng Manchester City,27,8,8,696,1,2,0,0.8,1.0
Rodrygo,br BRA,FW,es Real Madrid,22,13,12,"1,012",5,2,0,5.7,2.1
Alessio Romagnoli,it ITA,DF,it Lazio,28,6,6,540,0,1,0,0.7,0.4
Oriol Romeu,es ESP,MF,es Barcelona,31,7,4,343,0,0,0,0.1,0.5
Jérôme Roussillon,fr FRA,DF,de Union Berlin,30,4,3,264,0,1,0,0.1,0.8
Nicolò Rovella,it ITA,MF,it Lazio,21,3,2,136,0,0,0,0.0,0.0
Amir Rrahmani,xk KVX,DF,it Napoli,29,7,7,552,1,0,0,0.5,0.1
Donat Rrudhani,xk KVX,MF,ch Young Boys,24,1,0,9,0,0,0,0.0,0.1
Antonio Rüdiger,de GER,DF,es Real Madrid,30,12,11,"1,040",0,2,0,0.7,1.2
Mário Rui,pt POR,DF,it Napoli,32,4,3,212,0,0,0,0.0,0.0
Abel Ruiz,es ESP,"FW,MF",pt Braga,23,6,1,213,0,0,0,0.9,0.1
Fabián Ruiz Peña,es ESP,MF,fr Paris S-G,27,9,7,619,0,2,0,1.4,0.6
Julian Ryerson,no NOR,DF,de Dortmund,25,10,10,896,0,0,0,0.2,0.2
Frederik Rønnow,dk DEN,GK,de Union Berlin,30,6,6,540,0,0,0,0.0,0.0
Serdar Saatçı,tr TUR,DF,pt Braga,20,4,3,325,0,0,0,0.3,0.0
Marcel Sabitzer,at AUT,MF,de Dortmund,29,12,11,928,1,5,0,1.2,1.4
Umar Sadiq,ng NGA,FW,es Real Sociedad,26,4,1,102,0,0,0,0.0,0.1
Ismael Saibari,ma MAR,MF,nl PSV Eindhoven,22,7,3,318,1,0,0,1.8,0.4
Wesley Saïd,fr FRA,"FW,MF",fr Lens,28,3,0,55,0,0,0,0.2,0.1
Bukayo Saka,eng ENG,FW,eng Arsenal,21,9,9,720,4,4,0,1.6,1.9
Kike Salas,es ESP,DF,es Sevilla,21,2,2,165,0,0,0,0.0,0.0
William Saliba,fr FRA,DF,eng Arsenal,22,10,10,901,0,0,0,0.3,0.0
Brice Samba,fr FRA,GK,fr Lens,29,6,6,540,0,0,0,0.0,0.0
Alexis Sánchez,cl CHI,FW,it Inter,34,8,4,335,2,0,1,1.2,0.5
Davinson Sánchez,co COL,DF,tr Galatasaray,27,4,4,360,0,2,0,0.4,0.5
Juanlu Sánchez,es ESP,DF,es Sevilla,19,6,3,322,0,1,0,0.0,0.3
Jadon Sancho,eng ENG,FW,de Dortmund,23,7,7,558,1,0,0,0.2,0.8
Leroy Sané,de GER,FW,de Bayern Munich,27,12,11,921,2,1,0,1.9,1.9
Zaidu Sanusi,ng NGA,DF,pt Porto,26,4,4,307,0,0,0,0.1,0.2
Bouna Sarr,sn SEN,DF,de Bayern Munich,31,1,0,13,0,0,0,0.0,0.0
Leo Sauer,sk SVK,"MF,FW",nl Feyenoord,17,2,0,15,0,0,0,0.0,0.0
Stefan Savić,me MNE,DF,es Atlético Madrid,32,6,4,413,0,0,0,0.0,0.0
Liam Scales,ie IRL,DF,sct Celtic,24,6,6,540,0,0,0,0.1,0.1
Fabian Schär,ch SUI,DF,eng Newcastle Utd,31,6,6,540,1,0,0,0.2,0.0
Alexander Schlager,at AUT,GK,at RB Salzburg,27,6,6,540,0,0,0,0.0,0.0
Xaver Schlager,at AUT,MF,de RB Leipzig,25,8,7,624,1,2,0,0.1,0.8
Nico Schlotterbeck,de GER,DF,de Dortmund,23,12,11,976,0,2,0,0.4,0.7
Jerdy Schouten,nl NED,"MF,DF",nl PSV Eindhoven,26,7,7,621,0,0,0,0.0,0.3
Nicolas Seiwald,at AUT,MF,de RB Leipzig,22,4,3,272,0,0,0,0.0,0.0
Benjamin Šeško,si SVN,FW,de RB Leipzig,20,8,4,404,2,0,0,2.8,0.1
Luke Shaw,eng ENG,DF,eng Manchester Utd,28,2,2,135,0,1,0,0.1,0.1
Maryan Shved,ua UKR,FW,ua Shakhtar,26,2,0,5,0,0,0,0.0,0.0
Danylo Sikan,ua UKR,FW,ua Shakhtar,22,6,6,475,4,0,0,3.0,0.2
André Silva,pt POR,FW,es Real Sociedad,27,2,1,92,0,0,0,0.2,0.2
António Silva,pt POR,DF,pt Benfica,19,4,4,277,0,0,0,0.0,0.0
Bernardo Silva,pt POR,"FW,MF",eng Manchester City,28,8,6,534,2,0,0,1.8,1.7
Rafa Silva,pt POR,"MF,FW",pt Benfica,30,6,6,502,2,0,0,2.3,0.4
Mohamed Simakan,fr FRA,DF,de RB Leipzig,23,7,7,598,1,0,0,0.7,0.0
Giovanni Simeone,ar ARG,FW,it Napoli,28,6,1,97,1,0,0,1.4,0.0
Roko Simic,hr CRO,FW,at RB Salzburg,19,6,4,338,1,1,1,1.1,1.0
Xavi Simons,nl NED,"MF,FW",de RB Leipzig,20,8,7,596,2,2,0,1.3,1.5
Leo Skiri Østigård,no NOR,DF,it Napoli,23,4,1,189,1,0,0,0.4,0.1
Milan Škriniar,sk SVK,DF,fr Paris S-G,28,6,6,538,1,0,0,0.5,0.1
Emile Smith Rowe,eng ENG,MF,eng Arsenal,23,3,0,45,0,0,0,0.2,0.1
Cédric Soares,pt POR,DF,eng Arsenal,31,1,1,61,0,0,0,0.0,0.1
Carlos Soler,es ESP,"MF,FW",fr Paris S-G,26,2,0,9,0,0,0,0.0,0.0
Oumar Solet,fr FRA,DF,at RB Salzburg,23,3,2,154,0,0,0,0.0,0.0
