player,nationality,position,team,age,games,games_starts,minutes,goals,assists,pens_made,xg,xg_assist
Tammy Abraham,eng ENG,FW,it Milan,26,9,2,301,2,1,0,1.2,0.7
Francesco Acerbi,it ITA,DF,it Inter,36,9,8,770,1,1,0,0.6,0.6
Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,33,6,4,287,0,0,0,0.6,0.3
Karim Adeyemi,de GER,"FW,MF",de Dortmund,22,10,9,685,5,1,0,2.0,1.6
Amine Adli,ma MAR,"MF,FW",de Leverkusen,24,5,2,210,0,0,0,0.2,0.2
Vasilije Adžić,me MNE,FW,it Juventus,18,1,0,23,0,0,0,0.0,0.0
Michel Aebischer,ch SUI,MF,it Bologna,27,1,0,29,0,0,0,0.0,0.0
Emanuel Aiwum,at AUT,DF,at Sturm Graz,23,6,6,540,0,0,0,0.0,0.0
Ludovic Ajorque,fr FRA,FW,fr Brest,30,8,8,640,0,2,0,0.7,2.2
Manuel Akanji,ch SUI,DF,eng Manchester City,29,8,8,644,0,1,0,0.3,0.6
Nathan Aké,nl NED,DF,eng Manchester City,29,4,3,284,0,0,0,0.3,0.0
Maghnes Akliouche,fr FRA,"FW,MF",fr Monaco,22,10,10,805,2,2,0,1.5,2.1
Chuba Akpom,eng ENG,FW,fr Lille,28,1,0,24,0,0,0,0.2,0.0
Kerem Aktürkoğlu,tr TUR,FW,pt Benfica,25,12,11,847,4,0,0,3.9,1.5
David Alaba,at AUT,DF,es Real Madrid,32,5,2,175,0,0,0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,25,8,7,573,0,1,0,0.5,0.5
Alisson,br BRA,GK,eng Liverpool,31,6,6,570,0,0,0,0.0,0.0
Julián Álvarez,ar ARG,"FW,MF",es Atlético Madrid,24,10,10,784,7,1,0,2.4,1.6
Mohamed Aly Camara,gn GUI,DF,ch Young Boys,26,6,6,495,0,0,0,0.0,0.4
Jordan Amavi,fr FRA,DF,fr Brest,30,1,1,83,0,0,0,0.0,0.0
Zeki Amdouni,ch SUI,"FW,MF",pt Benfica,23,11,1,249,1,0,0,1.6,0.6
Benjamin André,fr FRA,MF,fr Lille,33,9,9,810,0,0,0,0.3,0.2
Robert Andrich,de GER,"MF,DF",de Leverkusen,29,7,2,276,0,1,0,0.1,0.6
Lucas Anjos,pt POR,MF,pt Sporting CP,20,1,0,7,0,0,0,0.0,0.0
Waldemar Anton,de GER,DF,de Dortmund,28,10,6,593,0,0,0,0.0,0.5
Maximiliano Araújo,uy URU,"DF,MF",pt Sporting CP,24,10,7,624,1,0,0,0.8,0.5
Ronald Araújo,uy URU,DF,es Barcelona,25,8,4,523,1,0,0,0.5,0.0
Tomás Araújo,pt POR,DF,pt Benfica,22,11,11,924,0,0,0,0.0,0.1
Hákon Arnar Haraldsson,is ISL,"FW,MF",fr Lille,21,6,3,306,2,0,0,0.9,0.7
Marko Arnautović,at AUT,FW,it Inter,35,7,2,206,1,0,0,1.8,0.2
Arthur,br BRA,"DF,MF",de Leverkusen,21,5,1,110,0,0,0,0.0,0.1
Raúl Asencio,es ESP,DF,es Real Madrid,21,10,8,749,0,1,0,0.1,0.1
Marco Asensio,es ESP,MF,eng Aston Villa,28,4,0,129,3,0,1,3.0,0.1
Marco Asensio,es ESP,FW,fr Paris S-G,28,4,2,135,0,0,0,0.2,0.1
Kristjan Asllani,al ALB,MF,it Inter,22,8,3,357,0,0,0,0.2,0.1
Yaser Asprilla,co COL,"MF,FW",es Girona,20,6,2,245,0,0,0,0.0,0.2
Zachary Athekame,ch SUI,DF,ch Young Boys,19,8,5,494,0,0,0,0.1,0.1
Carlos Augusto,br BRA,DF,it Inter,25,13,6,664,0,2,0,0.8,0.4
Yann Aurel Bisseck,de GER,DF,it Inter,23,13,7,701,0,0,0,0.6,0.1
Fredrik Aursnes,no NOR,MF,pt Benfica,28,12,11,989,0,1,0,1.3,1.1
Irakli Azarov,ge GEO,DF,ua Shakhtar,22,2,2,162,0,0,0,0.0,0.1
Ayman Azhil,ma MAR,MF,de Dortmund,23,1,0,2,0,0,0,0.0,0.0
Adam Aznou,ma MAR,DF,de Bayern Munich,18,1,0,2,0,0,0,0.0,0.0
César Azpilicueta,es ESP,DF,es Atlético Madrid,34,2,1,113,0,0,0,0.0,0.1
Isaac Babadi,nl NED,"MF,FW",nl PSV Eindhoven,19,4,1,105,0,1,0,0.3,0.4
Alexander Bah,dk DEN,DF,pt Benfica,26,7,6,498,1,1,0,0.7,0.9
Samson Baidoo,at AUT,DF,at RB Salzburg,20,7,7,616,0,0,0,0.1,0.0
Leon Bailey,jm JAM,FW,eng Aston Villa,26,8,6,526,1,1,0,0.7,2.0
Stefan Bajcetic,es ESP,MF,at RB Salzburg,19,6,1,205,0,0,0,0.0,0.1
Esmir Bajraktarevic,ba BIH,FW,nl PSV Eindhoven,19,1,0,11,0,0,0,0.0,0.0
