player,nationality,position,team,age,games,games_starts,minutes,goals,assists,pens_made,xg,xg_assist
Kenan Bajrić,si SVN,"DF,MF",sk Slovan Bratislava,29,8,8,713,0,0,0,0.0,0.0
Johan Bakayoko,be BEL,"FW,MF",nl PSV Eindhoven,21,12,9,858,2,1,0,1.8,1.7
Mitchel Bakker,nl NED,"FW,DF",fr Lille,24,8,5,420,1,1,0,0.5,0.5
Alejandro Balde,es ESP,DF,es Barcelona,20,10,9,803,0,2,0,0.2,0.5
David von Ballmoos,ch SUI,GK,ch Young Boys,29,4,4,360,0,0,0,0.0,0.0
Folarin Balogun,us USA,FW,fr Monaco,23,3,0,94,0,0,0,0.2,0.1
Bradley Barcola,fr FRA,FW,fr Paris S-G,21,17,14,"1,087",3,4,0,6.0,3.8
Nicolò Barella,it ITA,MF,it Inter,27,13,11,992,0,2,0,0.4,1.8
Ross Barkley,eng ENG,MF,eng Aston Villa,30,6,0,103,1,0,0,0.0,0.0
Leandro Barreiro Martins,lu LUX,MF,pt Benfica,24,9,2,267,0,0,0,0.7,0.3
Pablo Barrios,es ESP,MF,es Atlético Madrid,21,6,6,431,0,0,0,0.1,0.2
Tigran Barseghyan,am ARM,"FW,MF",sk Slovan Bratislava,30,8,7,549,1,2,0,1.5,1.7
Davide Bartesaghi,it ITA,DF,it Milan,18,1,0,28,0,0,0,0.0,0.1
Afonso Bastardo,pt POR,MF,pt Sporting CP,19,1,0,35,0,0,0,0.0,0.0
Alessandro Bastoni,it ITA,DF,it Inter,25,14,12,"1,075",0,1,0,0.3,0.3
Martin Baturina,hr CRO,"MF,FW",hr Dinamo Zagreb,21,8,8,619,2,1,0,0.8,1.4
Christoph Baumgartner,at AUT,"MF,FW",de RB Leipzig,24,8,6,480,2,0,0,2.0,0.4
Donny van de Beek,nl NED,"MF,FW",es Girona,27,7,6,448,1,0,0,0.7,0.7
Thomas Beelen,nl NED,"DF,MF",nl Feyenoord,23,12,8,829,0,0,0,0.1,0.1
Maximilian Beier,de GER,"FW,MF",de Dortmund,21,12,6,616,1,0,0,1.2,0.4
Raoul Bellanova,it ITA,DF,it Atalanta,24,8,6,463,1,0,0,0.5,0.4
Jude Bellingham,eng ENG,MF,es Real Madrid,21,13,13,"1,131",3,3,0,3.8,2.2
Jeanuël Belocian,fr FRA,DF,de Leverkusen,19,2,0,13,0,0,0,0.0,0.0
Andrea Belotti,it ITA,FW,pt Benfica,30,4,0,59,0,0,0,0.0,0.2
Eliesse Ben Seghir,ma MAR,"MF,FW",fr Monaco,19,10,7,545,2,0,0,1.5,0.5
Walter Benítez,ar ARG,GK,nl PSV Eindhoven,31,11,11,"1,020",0,0,0,0.0,0.0
Loris Benito,ch SUI,DF,ch Young Boys,32,5,4,326,0,0,0,0.0,0.0
Ismaël Bennacer,dz ALG,MF,it Milan,26,1,1,74,0,1,0,0.0,0.4
Ramy Bensebaini,dz ALG,DF,de Dortmund,29,12,8,745,2,1,0,1.3,1.2
Lucas Beraldo,br BRA,DF,fr Paris S-G,20,4,1,142,0,0,0,0.1,0.0
Thomas Berenbruch,it ITA,MF,it Inter,19,1,0,7,0,0,0,0.0,0.0
Paulo Bernardo,pt POR,MF,sct Celtic,22,8,2,241,0,0,0,0.2,0.1
Maxime Bernauer,fr FRA,DF,hr Dinamo Zagreb,26,6,5,466,0,0,0,0.1,0.0
Jan-Niklas Beste,de GER,"FW,DF",pt Benfica,25,5,0,113,0,1,0,0.1,0.6
Sam Beukema,nl NED,DF,it Bologna,25,8,8,646,0,1,0,0.3,0.6
Mads Bidstrup,dk DEN,MF,at RB Salzburg,23,5,4,331,1,0,0,0.7,0.3
Biel,br BRA,"MF,FW",pt Sporting CP,23,2,1,73,0,0,0,0.0,0.0
Mika Biereth,dk DEN,FW,at Sturm Graz,21,6,6,470,2,0,0,2.1,0.1
Mika Biereth,dk DEN,FW,fr Monaco,21,2,1,82,0,0,0,0.0,0.0
Justin Bijlow,nl NED,GK,nl Feyenoord,26,2,2,125,0,0,0,0.0,0.0
El Bilal Touré,ml MLI,"FW,MF",de Stuttgart,22,4,1,139,1,0,0,0.8,0.0
Veljko Birmančević,rs SRB,FW,cz Sparta Prague,26,6,6,491,0,0,0,1.4,0.3
Marco Bizot,nl NED,GK,fr Brest,33,9,9,810,0,0,0,0.0,0.0
César Blackman,pa PAN,"DF,MF",sk Slovan Bratislava,26,8,8,718,0,0,0,0.2,0.0
Hendry Blank,de GER,DF,at RB Salzburg,19,4,3,284,0,0,0,0.0,0.0
Janis Blaswich,de GER,GK,at RB Salzburg,33,5,4,382,0,0,0,0.0,0.0
Daley Blind,nl NED,DF,es Girona,34,4,4,322,0,0,0,0.0,0.4
Lewin Blum,ch SUI,DF,ch Young Boys,23,7,5,440,0,0,0,0.0,0.5
Benjamin Boakye,de GER,FW,de Stuttgart,19,1,0,7,0,0,0,0.0,0.0
Sacha Boey,fr FRA,DF,de Bayern Munich,23,3,1,104,0,0,0,0.2,0.0
Lamare Bogarde,nl NED,"DF,MF",eng Aston Villa,20,4,2,141,0,0,0,0.0,0.0
Valerii Bondar,ua UKR,DF,ua Shakhtar,25,8,8,720,0,0,0,0.3,0.1
Artem Bondarenko,ua UKR,MF,ua Shakhtar,23,8,5,462,0,0,0,0.3,0.0
Victor Boniface,ng NGA,FW,de Leverkusen,23,4,3,240,1,0,0,1.8,0.1
Olivier Boscagli,fr FRA,DF,nl PSV Eindhoven,26,11,10,910,0,0,0,0.3,0.6
Ayyoub Bouaddi,fr FRA,MF,fr Lille,16,9,7,622,0,1,0,0.1,0.2
Conor Bradley,nir NIR,DF,eng Liverpool,21,5,3,277,0,1,0,0.4,0.3
Daniel Bragança,pt POR,MF,pt Sporting CP,25,8,2,318,1,2,0,1.3,0.4
Julian Brandt,de GER,MF,de Dortmund,28,13,11,877,0,5,0,0.7,1.5
Fabian Bredlow,de GER,GK,de Stuttgart,29,1,1,90,0,0,0,0.0,0.0
Gleison Bremer,br BRA,DF,it Juventus,27,2,2,95,0,0,0,0.0,0.0
Marco Brescianini,it ITA,"MF,FW",it Atalanta,24,6,1,127,1,0,0,0.9,0.0
Alexandre Brito,pt POR,MF,pt Sporting CP,19,1,0,45,0,0,0,0.0,0.0
Emi Buendía,ar ARG,"FW,MF",eng Aston Villa,27,4,1,114,0,0,0,0.0,0.1
Emi Buendía,ar ARG,MF,de Leverkusen,27,2,0,11,0,0,0,0.0,0.0
Hugo Bueno,es ESP,"DF,MF",nl Feyenoord,21,9,6,546,0,1,0,0.2,0.9
Nathan Butler-Oyedeji,eng ENG,FW,eng Arsenal,21,1,0,1,0,0,0,0.0,0.0
William Bøving,dk DEN,"MF,FW",at Sturm Graz,21,8,8,665,0,1,0,0.6,1.3
Rémy Cabella,fr FRA,"MF,FW",fr Lille,34,7,6,383,1,1,0,1.2,0.6
Arthur Cabral,br BRA,"FW,MF",pt Benfica,26,6,0,80,1,0,0,0.4,0.0
Davide Calabria,it ITA,DF,it Milan,27,5,3,313,0,0,0,0.1,0.4
Riccardo Calafiori,it ITA,DF,eng Arsenal,22,8,4,431,1,1,0,0.7,1.0
Hakan Çalhanoğlu,tr TUR,MF,it Inter,30,12,11,827,4,2,3,3.1,1.0
Amady Camara,ml MLI,"FW,MF",at Sturm Graz,19,4,2,132,0,0,0,0.6,0.1
Lamine Camara,sn SEN,MF,fr Monaco,20,9,9,605,0,0,0,0.2,0.4
Mahdi Camara,fr FRA,MF,fr Brest,26,10,9,705,1,0,0,1.0,0.3
Francesco Camarda,it ITA,"FW,MF",it Milan,16,4,0,39,0,0,0,0.2,0.0
Eduardo Camavinga,fr FRA,MF,es Real Madrid,21,9,5,496,0,0,0,0.1,0.6
Andrea Cambiaso,it ITA,DF,it Juventus,24,7,5,565,0,1,0,0.1,0.2
Cole Campbell,us USA,FW,de Dortmund,18,1,0,14,0,0,0,0.0,0.0
Emre Can,de GER,"DF,MF",de Dortmund,30,12,10,942,2,1,2,1.8,0.1
Nicolás Capaldo,ar ARG,"MF,DF",at RB Salzburg,26,8,5,515,0,0,0,0.1,0.1
Diego Carlos,br BRA,DF,eng Aston Villa,31,6,5,484,0,0,0,0.2,0.1
Marco Carnesecchi,it ITA,GK,it Atalanta,24,9,9,810,0,0,0,0.0,0.0
Julián Carranza,ar ARG,FW,nl Feyenoord,24,7,2,265,1,0,0,0.6,0.2
Álvaro Carreras,es ESP,DF,pt Benfica,21,10,10,900,0,2,0,0.4,1.5
Cameron Carter-Vickers,us USA,DF,sct Celtic,26,7,7,606,0,0,0,0.1,0.0
Dani Carvajal,es ESP,DF,es Real Madrid,32,2,2,180,0,1,0,0.0,0.1
Marc Casado,es ESP,MF,es Barcelona,20,10,7,633,0,2,0,0.4,0.5
Nicolò Casale,it ITA,DF,it Bologna,26,4,2,219,0,0,0,0.0,0.0
Matty Cash,pl POL,"DF,FW",eng Aston Villa,26,8,7,513,0,0,0,0.8,0.2
Santiago Castro,ar ARG,FW,it Bologna,19,7,4,336,0,0,0,0.3,0.3
Geny Catamo,mz MOZ,"DF,MF",pt Sporting CP,23,8,6,504,1,0,0,1.0,0.4
Dani Ceballos,es ESP,MF,es Real Madrid,27,9,4,405,0,1,0,0.1,0.7
Julian Chabot,de GER,DF,de Stuttgart,26,8,7,647,0,0,0,0.4,0.0
El Chadaille Bitshiabu,fr FRA,DF,de RB Leipzig,19,4,3,268,0,0,0,0.0,0.0
Miguel Chaiwa,zm ZAM,"FW,MF",ch Young Boys,20,2,0,41,0,0,0,0.0,0.0
Brendan Chardonnet,fr FRA,DF,fr Brest,29,9,9,810,0,0,0,0.2,0.0
Anrie Chase,jp JPN,DF,de Stuttgart,20,5,1,158,0,0,0,0.1,0.0
Lucas Chevalier,fr FRA,GK,fr Lille,22,10,10,900,0,0,0,0.0,0.0
Federico Chiesa,it ITA,FW,eng Liverpool,26,3,1,107,0,0,0,0.2,0.0
Andreas Christensen,dk DEN,DF,es Barcelona,28,1,0,8,0,0,0,0.0,0.0
Tochi Chukwuani,dk DEN,MF,at Sturm Graz,21,7,7,604,0,1,0,0.3,0.9
Carney Chukwuemeka,eng ENG,"MF,FW",de Dortmund,20,3,1,78,0,0,0,0.1,0.6
Samuel Chukwueze,ng NGA,FW,it Milan,25,7,1,280,0,1,0,0.3,0.7
Bobby Clark,eng ENG,"MF,FW",at RB Salzburg,19,6,4,326,0,0,0,0.3,0.3
Silvi Clúa,es ESP,MF,es Girona,19,1,1,78,0,0,0,0.0,0.0
Elias Cobbaut,be BEL,DF,cz Sparta Prague,26,2,2,157,0,0,0,0.0,0.0
Matteo Cocchi,it ITA,DF,it Inter,17,1,0,7,0,0,0,0.0,0.0
Ebrima Colley,gm GAM,"FW,MF",ch Young Boys,24,7,4,306,0,0,0,0.3,0.2
Kingsley Coman,fr FRA,FW,de Bayern Munich,28,11,5,458,1,0,0,1.2,0.7
Francisco Conceição,pt POR,FW,it Juventus,21,9,6,605,1,1,0,0.6,0.5
Abdu Conté,pt POR,DF,ch Young Boys,26,1,0,28,0,0,0,0.0,0.0
Tommaso Corazza,it ITA,DF,it Bologna,20,1,0,3,0,0,0,0.0,0.0
Juan Córdoba,co COL,"FW,MF",hr Dinamo Zagreb,21,1,0,17,0,0,0,0.0,0.0
Ángel Correa,ar ARG,"MF,FW",es Atlético Madrid,29,8,2,269,3,1,0,1.6,0.8
Grégoire Coudert,fr FRA,GK,fr Brest,25,1,1,90,0,0,0,0.0,0.0
Soumaïla Coulibaly,fr FRA,DF,fr Brest,20,8,7,636,0,0,0,0.0,0.0
Thibaut Courtois,be BEL,GK,es Real Madrid,32,12,12,"1,110",0,0,0,0.0,0.0
Yan Couto,br BRA,DF,de Dortmund,22,8,2,231,0,0,0,0.1,0.0
Juan Cuadrado,co COL,DF,it Atalanta,36,8,2,320,0,1,0,0.4,2.2
Pau Cubarsí,es ESP,DF,es Barcelona,17,13,12,977,0,1,0,0.2,1.0
Andres Cuenca,es ESP,DF,es Barcelona,17,1,0,7,0,0,0,0.0,0.0
Daniel Cummings,sct SCO,FW,sct Celtic,18,1,0,12,0,0,0,0.0,0.0
Adam Daghim,dk DEN,FW,at RB Salzburg,18,7,4,393,1,0,0,0.6,0.2
Samuel Dahl,se SWE,"DF,FW",pt Benfica,24,3,1,157,0,0,0,0.1,0.2
Ameen Al-Dakhil,be BEL,"DF,MF",de Stuttgart,22,3,1,95,0,0,0,0.0,0.0
Dálcio,gw GNB,MF,rs Red Star,28,5,0,183,0,0,0,0.1,0.1
Thijs Dallinga,nl NED,FW,it Bologna,23,8,4,412,1,0,0,1.7,0.0
Matteo Dams,be BEL,DF,nl PSV Eindhoven,20,6,6,416,0,0,0,0.0,0.2
Kryštof Daněk,cz CZE,"FW,MF",cz Sparta Prague,21,3,0,50,0,0,0,0.0,0.0
Danilo,br BRA,DF,it Juventus,33,4,2,232,0,0,0,0.0,0.0
Arnaut Danjuma,nl NED,FW,es Girona,27,7,3,389,1,2,0,1.3,1.0
Jayden Danns,eng ENG,FW,eng Liverpool,18,1,1,82,0,0,0,0.1,0.0
Matteo Darmian,it ITA,DF,it Inter,34,10,5,553,0,0,0,0.3,0.4
Juan David Cabal,co COL,DF,it Juventus,23,2,2,157,0,0,0,0.0,0.0
Jonathan David,ca CAN,FW,fr Lille,24,10,8,747,7,2,2,4.7,1.3
Alphonso Davies,ca CAN,DF,de Bayern Munich,23,9,8,701,2,0,0,1.7,0.7
Kevin De Bruyne,be BEL,MF,eng Manchester City,33,7,5,397,0,0,0,0.8,2.0
Maxim De Cuyper,be BEL,DF,be Club Brugge,23,12,12,"1,079",1,0,0,0.7,1.3
Charles De Ketelaere,be BEL,"FW,MF",it Atalanta,23,10,8,699,4,5,1,2.7,5.0
Rodrigo De Paul,ar ARG,MF,es Atlético Madrid,30,10,10,743,0,1,0,0.3,1.1
Giacomo De Pieri,it ITA,FW,it Inter,17,1,0,15,0,0,0,0.1,0.0
Zeno Debast,be BEL,"DF,MF",pt Sporting CP,20,8,7,565,1,1,0,0.1,0.9
Amar Dedić,ba BIH,DF,at RB Salzburg,21,7,7,630,0,1,0,0.5,0.9
Romain Del Castillo,fr FRA,FW,fr Brest,28,7,3,318,0,0,0,0.1,0.9
Ousmane Dembélé,fr FRA,FW,fr Paris S-G,27,15,13,"1,158",8,6,0,8.1,3.7
Ermedin Demirović,ba BIH,FW,de Stuttgart,26,8,4,406,1,0,0,2.3,0.4
Michele Di Gregorio,it ITA,GK,it Juventus,27,8,8,718,0,0,0,0.0,0.0
Ángel Di María,ar ARG,"FW,MF",pt Benfica,36,9,6,545,1,2,1,2.4,2.6
Bafodé Diakité,fr FRA,DF,fr Lille,23,10,9,855,0,0,0,0.0,0.0
Mamady Diambou,ml MLI,"MF,DF",at RB Salzburg,21,7,4,364,0,0,0,0.0,0.0
Rúben Dias,pt POR,DF,eng Manchester City,27,7,5,453,0,0,0,0.0,0.0
Krépin Diatta,sn SEN,DF,fr Monaco,25,4,2,213,0,0,0,0.2,0.4
Brahim Díaz,ma MAR,"FW,MF",es Real Madrid,24,11,4,482,2,1,0,1.4,1.0
Luis Díaz,co COL,FW,eng Liverpool,27,9,7,631,3,0,0,2.5,1.1
Eric Dier,eng ENG,DF,de Bayern Munich,30,6,3,297,1,0,0,0.1,0.0
Lucas Digne,fr FRA,DF,eng Aston Villa,31,9,9,743,0,0,0,0.4,0.7
Federico Dimarco,it ITA,"DF,FW",it Inter,26,10,7,568,0,1,0,0.8,1.7
Ousmane Diomande,ci CIV,DF,pt Sporting CP,20,9,9,751,0,0,0,0.1,0.0
Axel Disasi,fr FRA,DF,eng Aston Villa,26,3,1,126,0,0,0,0.0,0.1
Nasser Djiga,bf BFA,DF,rs Red Star,21,8,8,720,1,1,0,0.2,0.7
Berat Djimsiti,al ALB,DF,it Atalanta,31,9,8,678,1,0,0,1.1,0.2
Jeremy Doku,be BEL,FW,eng Manchester City,22,4,2,193,0,1,0,0.2,0.6
Sergi Dominguez,es ESP,"DF,FW",es Barcelona,19,2,0,35,0,0,0,0.0,0.0
Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,25,15,15,"1,380",0,0,0,0.0,0.0
Nene Dorgeles,ml MLI,FW,at RB Salzburg,21,8,5,484,0,0,0,0.4,0.4
Désiré Doué,fr FRA,FW,fr Paris S-G,19,16,8,740,5,3,0,2.7,2.5
Kamory Doumbia,ml MLI,"MF,FW",fr Brest,21,10,5,437,0,0,0,1.7,0.5
Couhaib Driouech,ma MAR,"FW,MF",nl PSV Eindhoven,22,5,1,154,1,0,0,0.6,0.3
Vanja Drkušič,si SVN,DF,rs Red Star,24,2,2,178,0,0,0,0.0,0.0
Joel Drommel,nl NED,GK,nl PSV Eindhoven,27,1,1,90,0,0,0,0.0,0.0
Bruno Duarte,br BRA,"FW,MF",rs Red Star,28,7,2,154,0,0,0,0.2,0.0
Denzel Dumfries,nl NED,DF,it Inter,28,12,11,971,2,3,0,1.4,2.0
Jáder Durán,co COL,FW,eng Aston Villa,20,7,1,241,3,0,0,0.9,0.2
Julien Duranville,be BEL,"FW,MF",de Dortmund,18,9,2,301,0,0,0,0.2,0.4
Éderson,br BRA,MF,it Atalanta,25,9,8,739,1,0,0,0.4,0.6
Ederson,br BRA,GK,eng Manchester City,30,8,8,720,0,0,0,0.0,0.0
Marcus Edwards,eng ENG,MF,pt Sporting CP,25,1,1,67,0,0,0,0.0,0.0
Eguinaldo,br BRA,FW,ua Shakhtar,19,7,5,406,0,1,0,0.9,0.4
Meschak Elia,cd COD,"MF,FW",ch Young Boys,26,5,0,142,0,0,0,0.4,0.1
Harvey Elliott,eng ENG,"MF,FW",eng Liverpool,21,5,1,171,3,0,0,0.7,0.0
Elif Elmas,mk MKD,MF,de RB Leipzig,24,3,0,36,0,0,0,0.0,0.1
Timi Elšnik,si SVN,"MF,DF",rs Red Star,26,8,8,720,0,2,0,0.3,1.4
Breel Embolo,ch SUI,FW,fr Monaco,27,10,10,745,1,3,0,3.2,1.5
Emerson,br BRA,DF,it Milan,25,7,4,317,0,0,0,0.2,0.1
Wataru Endo,jp JPN,"MF,DF",eng Liverpool,31,6,1,143,0,0,0,0.0,0.0
Endrick,br BRA,FW,es Real Madrid,18,9,1,141,1,0,0,1.0,0.5
Arne Engels,be BEL,MF,sct Celtic,20,10,9,724,1,3,1,2.2,2.0
Luis Enrique Palma,hn HON,FW,sct Celtic,24,2,0,35,0,0,0,0.0,0.0
Martin Erlic,hr CRO,DF,it Bologna,26,1,0,45,0,0,0,0.0,0.0
Ricardo Esgaio,pt POR,DF,pt Sporting CP,31,4,2,170,0,0,0,0.0,0.0
Giovanni Fabbian,it ITA,MF,it Bologna,21,7,6,490,0,0,0,0.9,0.0
Nicolò Fagioli,it ITA,"MF,FW",it Juventus,23,4,2,207,0,1,0,0.3,0.7
Romain Faivre,fr FRA,"MF,FW",fr Brest,26,8,3,308,0,0,0,0.1,0.2
Ansu Fati,es ESP,"FW,MF",es Barcelona,21,4,0,41,0,0,0,0.0,0.0
João Félix,pt POR,MF,it Milan,24,2,2,180,0,0,0,0.4,0.3
Lewis Ferguson,sct SCO,MF,it Bologna,24,5,4,289,0,0,0,0.5,0.2
Edimilson Fernandes,ch SUI,MF,fr Brest,28,10,8,647,1,0,0,0.2,0.1
Matias Fernandez-Pardo,be BEL,"FW,MF",fr Lille,19,7,2,263,0,1,0,0.3,0.4
Ryan Flamingo,nl NED,DF,nl PSV Eindhoven,21,11,10,858,3,0,0,1.3,0.2
Phil Foden,eng ENG,"MF,FW",eng Manchester City,24,9,7,687,3,1,0,1.7,1.2
Youssouf Fofana,fr FRA,MF,it Milan,25,10,9,799,0,2,0,0.5,1.1
James Forrest,sct SCO,FW,sct Celtic,33,4,0,63,0,1,0,0.1,0.3
Héctor Fort,es ESP,DF,es Barcelona,17,2,0,50,0,0,0,0.0,0.0
Alejandro Francés,es ESP,DF,es Girona,21,6,5,435,0,0,0,0.3,0.4
Lassina Franck Traoré,bf BFA,FW,ua Shakhtar,23,6,0,146,0,0,0,0.0,0.1
Bartol Franjić,hr CRO,"DF,MF",ua Shakhtar,24,2,0,21,0,0,0,0.0,0.0
Davide Frattesi,it ITA,MF,it Inter,24,13,4,496,2,0,0,0.9,0.4
Iván Fresneda,es ESP,DF,pt Sporting CP,19,3,3,237,0,0,0,0.2,0.0
Remo Freuler,ch SUI,MF,it Bologna,32,7,6,506,0,0,0,0.1,0.3
Jeremie Frimpong,nl NED,"DF,FW",de Leverkusen,23,10,9,793,0,3,0,1.2,2.5
Chris Führich,de GER,"FW,MF",de Stuttgart,26,7,6,503,1,0,0,0.7,1.1
Kyogo Furuhashi,jp JPN,FW,sct Celtic,29,7,6,462,1,0,0,2.5,0.0
Matteo Gabbia,it ITA,DF,it Milan,24,6,5,404,0,0,0,0.4,0.0
Artur Gajdoš,sk SVK,"MF,DF",sk Slovan Bratislava,20,4,0,19,0,0,0,0.1,0.1
Cody Gakpo,nl NED,FW,eng Liverpool,25,8,4,369,3,1,1,2.6,1.4
Javi Galán,es ESP,DF,es Atlético Madrid,29,6,6,450,0,1,0,0.1,0.2
Conor Gallagher,eng ENG,MF,es Atlético Madrid,24,9,4,469,1,1,0,0.6,0.2
Silvère Ganvoula M'Boussy,cg CGO,FW,ch Young Boys,28,8,6,486,1,0,0,1.6,0.0
Aleix García,es ESP,MF,de Leverkusen,27,10,4,364,1,0,0,0.9,0.2
Eric García,es ESP,"DF,MF",es Barcelona,23,9,3,276,2,0,0,1.1,0.3
Fran Garcia,es ESP,DF,es Real Madrid,24,9,1,268,0,0,0,0.0,0.3
Jastin García,es ESP,DF,es Girona,20,1,0,12,0,0,0,0.0,0.0
Federico Gatti,it ITA,DF,it Juventus,26,9,8,801,0,1,0,0.2,0.1
Gavi,es ESP,MF,es Barcelona,19,10,3,301,0,0,0,0.3,0.2
Jusuf Gazibegović,ba BIH,DF,at Sturm Graz,24,5,5,450,0,0,0,0.1,0.6
Paulo Gazzaniga,ar ARG,GK,es Girona,32,7,7,630,0,0,0,0.0,0.0
Viggo Gebel,de GER,DF,de RB Leipzig,16,1,0,6,0,0,0,0.0,0.0
Lutsharel Geertruida,nl NED,DF,de RB Leipzig,24,8,7,617,0,0,0,0.1,1.0
Niklas Geyrhofer,at AUT,DF,at Sturm Graz,24,6,5,449,0,0,0,0.1,0.0
Alaa Ghram,tn TUN,DF,ua Shakhtar,23,2,2,135,0,0,0,0.0,0.0
Bryan Gil,es ESP,"FW,MF",es Girona,23,6,6,447,0,0,0,0.5,1.4
Santiago Giménez,mx MEX,FW,it Milan,23,2,2,152,1,0,0,0.7,0.2
Santiago Giménez,mx MEX,FW,nl Feyenoord,23,5,4,294,5,1,1,2.9,0.1
Jamie Gittens,eng ENG,"FW,MF",de Dortmund,19,14,11,845,4,0,0,1.7,1.0
Omri Glazer,il ISR,GK,rs Red Star,28,3,3,270,0,0,0,0.0,0.0
